"Data Year","Data Year (cat)","Class Grade","Class Grade (cat)",State,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2020,y2020,9,G09,CA,Female,14,[14],Right-Handed,152.4,23,123,2,Car,20,0,46,Athletics,500,500,700,650,300,1000,23,"Right foot",70,71,"Same length",05.May,2.Spring,No,No,Other,Water,"Mathematics and statistics",7,9,3,"Yes - broadband connection",Other,300,450,2,1,1,2,2,1,3,2,1,0,0,0,3.Some,6.Other,"Rap/Hip hop",Invisibility,Happy,Other,"Wildlife, animals"
2012,y2012,12,G12,CA,Female,16,[16],Right-Handed,161,24,159,1,Car,15,0,50,Dancing,400,500,300,300,900,900,24,"Same length",73,76,"Ring finger",04.Apr,3.Summer,No,No,Desserts,"Soft drink (non-caffeinated)",Languages,8,10,4,"Yes - broadband connection","In person",16,19,5,0,5,12,0,0,15,1,20,1,0,1,3.Some,"5.Graduate degree",Other,Telepathy,Happy,Relative,"Wildlife, animals"
2017,y2017,12,G12,CA,Female,16,[16],Right-Handed,164,23,150,2,Car,20,0,43,Soccer,900,960,990,1000,210,930,23,"Same length",100,70,"Index finger",10.Oct,1.Winter,No,No,Meat,Water,History,10,8,5,"Yes - broadband connection","Internet chat or instant messaging",0,3,8,0,3,6,2,0,0,1,0,5,1,3,3.Some,"2.High school","Rap/Hip hop","Freeze time",Rich,Other,"International aid"
2012,y2012,12,G12,CA,Female,16,[16],Right-Handed,176,23.5,175,2,Car,25,0,38,Other,850,850,900,750,300,420,23.5,"Same length",85,70,"Index finger",08.Aug,4.Fall,Yes,Yes,Pizza/Pasta,Milk,English,7,10,4,"Yes - other","In person",0,16,17,1,9,49,7,6,0,0.2,5,6,0,4.5,"4.A lot","5.Graduate degree","Rock and roll","Freeze time",Healthy,Relative,"Wildlife, animals"
2020,y2020,9,G09,CA,Male,15,[15],Left-Handed,174,,158,2,Walk,,1,60,Soccer,1000,524,1000,0,1000,508,22,"Right foot",80,85,"Ring finger",09.Sep,3.Summer,No,No,Pizza/Pasta,Water,,10,11,3,,"Cell phone",4,3,,,,,,,,,,,,,,,,,,,
2015,y2015,6,G06,CA,Male,12,[12],Right-Handed,142,22.5,144,2,Walk,10,0,44,Soccer,1000,1000,1000,1000,1000,1000,23,"Left foot",64,65,"Ring finger",03.Mar,1.Winter,No,No,Soups,Water,"Physical education",9,12,3,"Yes - broadband connection","Internet chat or instant messaging",0,0,0,0,4,12,0,0,0,0,4,0,0,2,"2.Very little","5.Graduate degree",Other,"Freeze time",Healthy,Other,"Education/Youth development"
2018,y2018,11,G11,CA,Female,17,[17],Right-Handed,167.6,24,150,1,Car,10,0,114,Running/Jogging,813,540,733,610,508,802,24,"Same length",80,80,"Same length",03.Mar,2.Spring,Yes,No,Meat,Water,History,7,9,5,"Yes - broadband connection","Text messaging",16,20,7,2,7,8,5,0,8,8,3,4,0,3,"4.A lot","5.Graduate degree","Rhythm and blues (R&B)",Fly,Healthy,"Religious figure","International aid"
2020,y2020,11,G11,CA,Male,16,[16],Right-Handed,183,28,178,2,Car,8,0,77,Soccer,1000,1000,561,567,754,1000,28,"Same length",90,80,"Index finger",03.Mar,3.Summer,Yes,No,Pizza/Pasta,Water,"Physical education",8,9,3,"Yes - broadband connection","Text messaging",20,20,6,0.25,10,2,14,1,20,3,2,1,0,1,"4.A lot",6.Other,"Rap/Hip hop","Freeze time",Happy,"Sports person",Health
2016,y2016,11,G11,CA,Female,17,[17],Right-Handed,172,30.5,180,2,Car,30,0,33,Other,540,540,840,647,535,,30.5,"Same length",83,85,"Ring finger",10.Oct,3.Summer,No,No,Pizza/Pasta,Water,,6,10,4,"Yes - broadband connection","Text messaging",20,36,30,0,40,0,0,50,50,50,50,,0,8,"4.A lot","4.Undergraduate degree",Other,Telepathy,Happy,Other,"International aid"
2015,y2015,4,G04,CA,Male,8,[08],Right-Handed,134.6,23,135,2,Walk,4,1,51,Soccer,799,789,1000,900,23,600,23,"Same length",70,71,"Ring finger",12.Dec,3.Summer,Yes,No,Pizza/Pasta,Water,"Physical education",10,9,4,"Yes - broadband connection","In person",0,0,12,0,0,5,6,3,1,0,6,2,0,1,1.None,"5.Graduate degree",Pop,Telepathy,Happy,"Sports person",Other
2017,y2017,12,G12,CA,Male,17,[17],Right-Handed,173,24,170,2,Walk,15,0,41,Dancing,800,700,500,400,500,800,24,"Same length",,,"Ring finger",12.Dec,1.Winter,No,No,Meat,Water,Science,8,8.5,4,"Yes - dial-up connection","Internet chat or instant messaging",40,90,0,0,8,4,6,0,7,7,15,6,0,0,3.Some,"5.Graduate degree","Rap/Hip hop",Fly,Happy,"Musician or singer",Other
2015,y2015,4,G04,CA,Female,,,Right-Handed,127,19.05,119.4,2,Car,30,1,67,Soccer,100,1000,1000,1000,1000,1000,19.05,"Same length",76.2,63.5,"Index finger",12.Dec,3.Summer,Yes,No,Breads/Sandwiches,Milk,"Physical education",10,10,3,"Yes - broadband connection","In person",0,0,2,0,7,15,7,2,0,0,5,2,1,2,1.None,"5.Graduate degree","Rap/Hip hop","Super strength",Famous,"Sports person","Education/Youth development"
2016,y2016,7,G07,CA,Male,13,[13],Left-Handed,159,24,154.94,1,Car,8,0,60,Baseball/Softball,588,519,695,513,652,834,24,"Same length",69,70,"Ring finger",10.Oct,1.Winter,Yes,No,"No favorite",Water,"Physical education",7,12,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",11,9,15,0.5,15,7,20,5,10,1.5,10,7,0,0,"4.A lot","5.Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person",Environment
2021,y2021,4,G04,CA,Female,17,[17],Right-Handed,183,24,175,1,Car,40,0,36,Baseball/Softball,1000,1000,914,882,401,508,25,"Left foot",89,71,"Index finger",05.May,4.Fall,No,No,Meat,Milk,Music,6,9,5,"Yes - broadband connection","Internet chat or instant messaging",8,12,6,5,7,3,5,3,7,7,7,5,0,4,"4.A lot","5.Graduate degree",Other,Telepathy,Happy,Actor,Environment
2022,y2022,12,G12,CA,Male,18,[18],Right-Handed,178,26,175,3,Walk,5,0,57,Basketball,800,700,1000,1000,1000,1000,26,"Same length",90,80,"Index finger",02.Feb,3.Summer,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",7,8,4,"Yes - broadband connection","In person",20,50,5,1,6,2,12,10,7,2,,0,0,0,3.Some,"5.Graduate degree","Rap/Hip hop",Telepathy,Rich,"Business person",Environment
2017,y2017,12,G12,CA,Female,16,[16],Right-Handed,157,,,2,Bicycle,10,0,35,Dancing,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,y2019,12,G12,CA,Male,17,[17],Right-Handed,181,25,185,2,Car,10,0,44,Basketball,900,900,900,900,900,900,26,"Left foot",90,95,"Ring finger",04.Apr,2.Spring,No,No,"Rice/Noodle dishes",,,5,10,3,"Yes - broadband connection","Text messaging",20,20,8,1,10,1,1,5,10,1,10,0,0,0,"4.A lot","5.Graduate degree","Rap/Hip hop",Telepathy,Happy,"Musician or singer","Education/Youth development"
2013,y2013,12,G12,CA,Male,17,[17],Right-Handed,172,27,174,2,Bus,45,0,39,Soccer,150,350,100,200,600,900,27,,91,96,"Ring finger",03.Mar,3.Summer,No,No,Desserts,Juice,Science,5,10,3,"Yes - broadband connection","In person",75,75,2,4,18,6,10,1,1,6,8,8,0,0,"4.A lot","5.Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
2021,y2021,11,G11,CA,Female,17,[17],Right-Handed,157.4,10.16,147.32,2,Car,10,1,43,Soccer,600,800,1000,700,1000,1000,10.16,"Same length",100,90,"Index finger",12.Dec,1.Winter,No,No,Pizza/Pasta,Juice,Science,9,11,6,"Yes - dial-up connection","In person",5,20,1,1,3,20,2,0,8,1,20,5,0,6,"2.Very little","5.Graduate degree","Punk rock",Telepathy,Happy,"Musician or singer",Religious
2017,y2017,11,G11,CA,Female,17,[17],Right-Handed,160,20,160,2,Walk,15,1,39,None,10,80,80,80,90,100,20,"Same length",80,70,"Index finger",03.Mar,1.Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,5,5,"Yes - other","Text messaging",270,260,5,5,32,20,8,7,,,,,0,7,3.Some,6.Other,Pop,Telepathy,Famous,"Musician or singer","Wildlife, animals"
2017,y2017,10,G10,CA,Male,16,[16],Right-Handed,174,21,109.7,1,Car,13,0,47,Soccer,679,476,535,433,48,48,,"Same length",,,"Same length",11.Nov,3.Summer,No,No,Meat,Water,"Mathematics and statistics",8,6,8,"Yes - broadband connection",Telephone,0,0,9,0,4,7,4,32,2,1,24,6,0,23,3.Some,"5.Graduate degree",Other,Fly,Rich,Other,"Education/Youth development"
2020,y2020,12,G12,CA,Female,17,[17],Right-Handed,152.4,,168,1,Car,15,0,48,Dancing,1000,1000,900,900,1000,1000,,"Same length",75,75,"Same length",04.Apr,2.Spring,No,No,"Rice/Noodle dishes",Other,History,5,8,3,"Yes - dial-up connection","Text messaging",100,100,0,0,5,2,0,3,3,3,12,12,0,3,"4.A lot","5.Graduate degree",Other,Telepathy,Healthy,"Doctor or nurse",Health
2018,y2018,7,G07,CA,Male,13,[13],Right-Handed,187.96,30,167.64,2,Car,10,0,36,Cycling,950,700,700,800,200,900,30,"Left foot",110,110,"Ring finger",01.Jan,3.Summer,No,No,Seafood,Water,History,11,9.5,4,"Yes - broadband connection","In person",0,0,3,0,4,,11,0,0,0,1,10,0,3,3.Some,"5.Graduate degree","Punk rock","Freeze time",Happy,Other,"International aid"
2019,y2019,9,G09,CA,Female,15,[15],Right-Handed,162,26,160,2,Car,13,0,29,Other,759,460,631,631,278,642,26,"Same length",75,80,"Ring finger",01.Jan,1.Winter,No,No,"Rice/Noodle dishes",Other,"Mathematics and statistics",7,10,6,"Yes - broadband connection","Internet chat or instant messaging",439,,3,0,15,4,1,17,7,7,17,0,0,2,3.Some,"5.Graduate degree",Other,Telepathy,Happy,Relative,"International aid"
2016,y2016,12,G12,CA,Female,18,[18],Right-Handed,160,22,162,1,Bus,45,0,39,Other,706,711,701,722,481,471,23,"Left foot",70,80,"Ring finger",08.Aug,1.Winter,Yes,No,Meat,Water,Art,8,5,4,"Yes - broadband connection","Text messaging",300,300,50,5,6,5,1,1,,,,10,0,7,"4.A lot","4.Undergraduate degree","Punk rock",Invisibility,Happy,Teacher,Environment
2013,y2013,12,G12,CA,Female,17,[17],Right-Handed,167,26,158,2,Car,13,0,40,Athletics,500,300,600,600,15,15,25,"Right foot",72,63,"Index finger",09.Sep,1.Winter,Yes,No,Seafood,Water,History,7,10,6,"Yes - other","Text messaging",48,60,2,1,6,4,5,0,2,3,2,4,0,3,3.Some,"5.Graduate degree","Rock and roll",Invisibility,Happy,Relative,"Education/Youth development"
2019,y2019,11,G11,CA,Male,16,[16],Right-Handed,180,26,173,2,Car,10,0,29,Soccer,800,700,800,900,600,900,26,"Same length",80,75,"Ring finger",06.Jun,1.Winter,No,No,"Rice/Noodle dishes",Water,Science,6,10,3,"Yes - broadband connection","Text messaging",10,10,1,0.5,42,1,1,2,1,1,30,1,0,0,"4.A lot","5.Graduate degree",Other,"Freeze time",Healthy,Relative,Health
