"Data Year","Data Year (cat)","Class Grade","Class Grade (cat)",State,Gender,Age,"Age (cat)",Handedness,Height,"Right foot length","Arm span","Languages spoken","Travel method to school","Travel time to school","Reaction time","Memory time","Favourite physical activity","Reducing pollution",Recycling,"Conserving water","Conserving energy","Owning a computer","Access to the internet","Left foot length","Longer foot","Index finger length","Ring finger length","Long finger left hand","Birth month","Favorite season",Allergies,Vegetarian,"Favorite food",Beverage,"Favorite school subject","Sleep hours (school night)","Sleep hours (non-school night)","Home occupants","Home internet access","Communication with friends","Text messages sent yesterday","Text messages received yesterday","Hanging out with friends","Talking on the phone","Doing homework","Doing things with family","Playing sports/outdoor games or activities","Playing computer/video games","Using social networking web sites","Sending/receiving text, SMS, or computer instant messages","Using the computer/internet","Watching TV","Paid work","Housework/Jobs at home","Schoolwork pressure","Planned education level","Favorite music",Superpower,"Preferred status","Role model type","Charity donation"
2017,y2017,9,G09,CA,Male,14,[14],Right-Handed,144.78,24,155,2,Bus,40,0,,Basketball,500,400,1000,1000,500,800,24,"Same length",70,90,"Ring finger",02.Feb,3.Summer,No,No,Meat,Water,Music,8,12,4,"Yes - other","Text messaging",4,2,4,2,4,5,4,2,1,4,2,3,2,1,3.Some,"5.Graduate degree","Rock and roll","Freeze time",Healthy,"Sports person",Health
2011,y2011,12,G12,CA,Male,17,[17],Right-Handed,171,23.2,170,1,Car,23,0,42,Basketball,400,500,600,,800,900,23.2,"Same length",100,110,"Ring finger",04.Apr,3.Summer,Yes,No,Meat,Water,Science,7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,0,50,0,20,,14,12,10,1,,7,0,5,"2.Very little","5.Graduate degree","Punk rock","Freeze time",Famous,Actor,Health
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,158.4,23,160,2,Car,30,1,54,Dancing,500,1000,300,100,600,700,22,"Right foot",70,80,"Ring finger",03.Mar,2.Spring,Yes,No,Pizza/Pasta,Juice,Languages,6,5,4,"Yes - broadband connection","Text messaging",40,45,2,1,4,6,3,0,2,1,3,2,0,5,"4.A lot","5.Graduate degree","Rock and roll",Telepathy,Famous,"Musician or singer","Arts, culture, sports"
2013,y2013,12,G12,CA,Male,17,[17],Right-Handed,163,20.6,163,2,Bus,35,1,52,Basketball,500,350,322,450,300,678,20.1,"Right foot",58.42,50.8,"Index finger",04.Apr,1.Winter,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",5,9,4,"Yes - broadband connection","Text messaging",50,35,7,1,1,2,1,1,9,24,24,5,8,1,3.Some,"5.Graduate degree","Rap/Hip hop","Super strength",Rich,Other,Health
2018,y2018,8,G08,CA,Male,14,[14],Right-Handed,169,29,172,1,Car,16,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,y2014,12,G12,CA,Female,16,[16],Right-Handed,154,22,150,2,Car,7,1,45,Other,,,,,,,22,"Same length",65,70,"Ring finger",05.May,4.Fall,Yes,No,Fruit,Water,Music,7,10,4,"Yes - broadband connection","Text messaging",50,100,6,1,3,3,9,0,3,1,4,4,0,1,3.Some,"5.Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Relative,"International aid"
2014,y2014,11,G11,CA,Female,17,[17],Right-Handed,163,25,165,2,"Rail (Train/Tram/Subway)",20,0,38,Dancing,802,508,802,813,1000,1000,25,"Same length",68,68,"Same length",06.Jun,4.Fall,No,No,Seafood,Water,Other,5,5,3,"Yes - broadband connection","Internet chat or instant messaging",,70,10,1,30,10,0,0,40,40,40,5,0,0,"4.A lot","4.Undergraduate degree",Other,Telepathy,Happy,Friend,"Arts, culture, sports"
2017,y2017,12,G12,CA,Female,17,[17],Right-Handed,167.6,19.05,160,1,Bus,90,1,57,Other,500,600,900,900,1000,1000,19.05,"Same length",70,75,"Index finger",03.Mar,2.Spring,No,No,Seafood,Water,History,5,7,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,3,5,8,21,5,0,0,5,6,14,0,18,7,3.Some,"5.Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Other,"Education/Youth development"
2015,y2015,11,G11,CA,Male,16,[16],Right-Handed,,24,,2,Car,15,0,52,Skateboarding/Rollerblading,250,250,250,500,250,500,24,"Same length",,,"Ring finger",04.Apr,1.Winter,No,No,"No favorite",Water,"Mathematics and statistics",6,8,6,"Yes - other","Text messaging",25,30,30,2,5,10,10,2,5,10,10,1,0,0,3.Some,6.Other,"Rap/Hip hop","Super strength",Rich,Relative,Environment
2022,y2022,12,G12,CA,Male,18,[18],Right-Handed,183.5,27,193,2,Walk,3,0,43,"Football (American)",250,250,600,340,600,600,28,"Left foot",80,82,"Ring finger",12.Dec,4.Fall,No,No,Seafood,Water,"Computers and technology",7,10,2,"Yes - broadband connection","Text messaging",30,30,,1,10,0,14,0,10,1,10,10,0,0,"4.A lot","4.Undergraduate degree","Rock and roll",Fly,Rich,Relative,Religious
2018,y2018,12,G12,CA,Female,17,[17],Right-Handed,149.8,21.5,147.5,,Car,30,1,31,Gymnastics,100,100,100,100,50,50,21.5,"Same length",60,65,"Ring finger",07.Jul,2.Spring,No,No,Seafood,Water,Art,7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,100,2,6,3,3,0,3,4,1,4,1,0,2,3.Some,"2.High school","Rap/Hip hop",Telepathy,Rich,"Musician or singer","Wildlife, animals"
2021,y2021,12,G12,CA,Female,17,[17],Right-Handed,,24,153,2,Car,15,0,45,Dancing,,,,,,,26,"Left foot",90,70,"Index finger",12.Dec,1.Winter,No,No,Meat,Water,Art,5,7,4,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",10,5,20,2,4,30,2,1,12,2,1,2,30,2,"2.Very little","5.Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"International aid"
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,167.6,24,151,2,Car,7,0,51,Other,500,200,700,250,900,950,25,"Left foot",90,85,"Same length",07.Jul,1.Winter,Yes,No,Pizza/Pasta,Water,English,8,10,4,"Yes - other","Cell phone",30,500,8,2,15,13,5,1,10,15,10,5,5,1,"4.A lot","5.Graduate degree",Other,Fly,Healthy,Relative,"Education/Youth development"
2020,y2020,12,G12,CA,Male,16,[16],Right-Handed,183,26,180,1,Car,22,0,37,Walking/Hiking,1000,925,433,455,850,950,27,"Left foot",75,80,"Ring finger",03.Mar,2.Spring,Yes,No,"No favorite",Water,Other,7.5,11.5,5,"Yes - broadband connection","Internet chat or instant messaging",50,50,3.5,0,2,5,0.5,3,0.25,2,13.5,2,0,2,"4.A lot","5.Graduate degree",Other,"Freeze time",Happy,Relative,Health
2019,y2019,12,G12,CA,Female,17,[17],Right-Handed,159,21,155,2,Car,7,0,32,Walking/Hiking,950,600,700,1000,975,800,21,"Same length",63,58,"Index finger",12.Dec,4.Fall,No,No,Meat,Water,Science,6,7,4,"Yes - broadband connection","In person",200,300,1,3,15,1,1,6,4,4,8,0,10,0.5,"4.A lot","5.Graduate degree",Other,"Freeze time",Rich,Relative,"Wildlife, animals"
2021,y2021,12,G12,CA,Female,16,[16],Right-Handed,163,24,160,3,Car,15,0,43,Dancing,600,400,400,700,800,1000,23,"Right foot",75,80,"Index finger",09.Sep,4.Fall,No,No,"Rice/Noodle dishes",Water,Science,6,10,5,"Yes - broadband connection","Internet chat or instant messaging",68,100,7,1,15,5,0,12,10,2,12,3,0,2,3.Some,"5.Graduate degree",Pop,Telepathy,Rich,Relative,Health
2019,y2019,7,G07,CA,Male,12,[12],Right-Handed,180,23,160,1,Car,10,0,86,None,1000,1000,1000,1000,1000,1000,22,"Right foot",75,80,"Ring finger",05.May,1.Winter,Yes,No,Desserts,Other,"Computers and technology",12,12,4,"Yes - other",Other,0,100,0,0,2,12,0,30,0,0,30,30,0,0,3.Some,6.Other,Other,Invisibility,Rich,Other,Other
2020,y2020,12,G12,CA,Female,18,[18],Left-Handed,155.4,15.24,152.4,1,Car,10,0,43,Walking/Hiking,936,941,840,845,882,893,15.24,"Same length",76,63,"Index finger",02.Feb,4.Fall,No,No,"Rice/Noodle dishes",Water,Science,9,8,8,"Yes - broadband connection",E-mail,0,0,0,0,3,6,4,5,2,0,6,3,0,1,"4.A lot","5.Graduate degree",Classical,Telepathy,Happy,Friend,Health
2020,y2020,12,G12,CA,Female,17,[17],Left-Handed,163,23,140,1,Car,15,1,57,Golf,1000,1000,1000,1000,1000,1000,23,"Same length",90,95,"Ring finger",05.May,3.Summer,No,No,Pizza/Pasta,Water,"Computers and technology",6,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200,200,10,5,20,30,2,3,10,1,50,5,15,0,"4.A lot","5.Graduate degree",Pop,"Freeze time",Rich,Politician,"International aid"
2018,y2018,9,G09,CA,Female,14,[14],Right-Handed,154,22,158,2,Car,5,0,49,Other,1000,1000,1000,1000,904,1000,22,"Same length",70,65,"Index finger",02.Feb,2.Spring,Yes,No,Fruit,Water,"Computers and technology",8,11,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,200,35,2,28,3,5,5,30,30,,0,0,7,"4.A lot","5.Graduate degree",Pop,"Freeze time",Rich,Actor,"Education/Youth development"
2018,y2018,9,G09,CA,Female,15,[15],Right-Handed,155,21,160.02,2,Car,25,0,35,Walking/Hiking,900,800,1000,950,500,700,21,"Same length",70,75,"Ring finger",03.Mar,1.Winter,No,No,Meat,Water,History,6.5,5,5,"Yes - broadband connection","Internet chat or instant messaging",25,30,2,0,15,7,10,3,5,3,5,6,0,3,3.Some,"5.Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Musician or singer","Education/Youth development"
2018,y2018,6,G06,CA,Female,10,[10],Right-Handed,142.3,22,141,3,Walk,3,0,35,Swimming,990,790,999,800,500,900,21,"Right foot",70,80,"Ring finger",09.Sep,1.Winter,Yes,No,"No favorite",Water,"Mathematics and statistics",9,9,6,"Yes - broadband connection","Text messaging",3,3,3,0,1,3,2,0,0,0,3,3,0,1,1.None,"5.Graduate degree",Pop,Telepathy,Healthy,Relative,Health
2018,y2018,9,G09,CA,Male,15,[15],Right-Handed,,26,155,1,Walk,20,1,48,Soccer,50,65,800,800,1000,1000,24,"Right foot",60,65,"Ring finger",10.Oct,3.Summer,No,No,Pizza/Pasta,Milk,"Mathematics and statistics",8,6,4,"Yes - other","Text messaging",10,35,10,0.5,4,5,8,16,10,2,7,2,0,1,3.Some,6.Other,"Rap/Hip hop","Freeze time",Rich,"Sports person",Health
2015,y2015,12,G12,CA,Male,19,[19],Right-Handed,160,23,163.5,2,Bus,30,,,Soccer,,,,,,,23,"Same length",85,85,"Same length",03.Mar,2.Spring,No,Yes,Salads,Water,English,7,8,6,"No internet connection","In person",243,342,2,1,1,3,2,0,0,5,5,1,0,1,"2.Very little","2.High school",Reggae,,,,
2018,y2018,12,G12,CA,Female,17,[17],Right-Handed,162,24,171,1,Car,10,0,41,Swimming,800,800,700,800,500,700,25,"Left foot",80,90,"Ring finger",07.Jul,1.Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,9,5,"Yes - other","In person",8,10,7,3,8,14,4,2,7,4,8,3,0,7,3.Some,"5.Graduate degree",Pop,Invisibility,Happy,Relative,Health
2019,y2019,12,G12,CA,Female,17,[17],Left-Handed,166,24,170,2,Car,15,1,43,Bowling,471,369,652,385,1000,1000,23,"Right foot",80,70,"Index finger",01.Jan,1.Winter,No,No,"No favorite",Water,Art,6,10,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,30,5,15,6,10,6,4,20,20,50,10,0,10,"4.A lot","5.Graduate degree",Pop,Invisibility,Rich,Relative,"Education/Youth development"
2021,y2021,12,G12,CA,Female,17,[17],Right-Handed,158,22,120,2,Car,2,0,52,Swimming,128,132,142,122,111,100,23,"Left foot",70,85,"Ring finger",02.Feb,1.Winter,No,No,Fruit,Water,"Mathematics and statistics",7,12,4,"Yes - broadband connection","Text messaging",5,20,1,2,26,,20,0,6,3,35,35,,,"4.A lot","5.Graduate degree",Classical,"Freeze time",Healthy,"Business person",Health
2020,y2020,12,G12,CA,Male,16,[16],Right-Handed,177,28,175,2,Car,10,0,46,Walking/Hiking,,,,,,,28,"Same length",76,73,"Index finger",09.Sep,4.Fall,Yes,No,"Rice/Noodle dishes",Tea,Geography,5,8,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,200,0,0,8,7,1,20,,,,5,0,10,"4.A lot",6.Other,Other,"Freeze time",Happy,Relative,Health
2013,y2013,12,G12,CA,Female,17,[17],Right-Handed,152,30,,2,Car,15,1,76,Dancing,4,3,1,2,5,6,17,"Same length",50,50,,05.May,3.Summer,Yes,No,"No favorite","Sports drink",English,8,,11,"Yes - other","Myspace, Facebook, other social networking sites, or blog",40,40,8,0,30,,3,3,3,3,3,3,3,4,"4.A lot","5.Graduate degree",Jazz,Telepathy,Rich,Relative,Health
2017,y2017,12,G12,CA,Male,16,[16],Right-Handed,178,25.4,,2,Car,29,,77,Basketball,500,200,800,900,700,1000,25.4,"Same length",55.8,61.4,"Ring finger",11.Nov,3.Summer,No,No,Meat,Water,Science,6,9,2,"No internet connection","Myspace, Facebook, other social networking sites, or blog",6,13,2,0,17,0,0,4,7,5,23,12,0,2,3.Some,"5.Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Coach or club leader","Education/Youth development"
2019,y2019,12,G12,CA,Female,17,[17],Right-Handed,162.5,23,,,Car,20,0,32,Swimming,1000,1000,754,802,310,658,22,"Right foot",70,70,"Same length",06.Jun,3.Summer,No,No,"No favorite",Water,Music,7,,5,"Yes - broadband connection","Internet chat or instant messaging",,,0,2,0.0333333333333333,,,1,0.0333333333333333,,,0,0,0,3.Some,"5.Graduate degree",Other,Telepathy,Happy,Relative,"Wildlife, animals"
2020,y2020,12,G12,CA,Male,17,[17],Right-Handed,178,22.8,138.7094,2,Bus,10,0,31,Cycling,500,500,743,963,824,995,22.8,"Same length",,,"Index finger",07.Jul,1.Winter,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",9,8,5,"Yes - other","Text messaging",15,3,0,1,2,5,0,3,0,5,11,0,0,2,3.Some,"5.Graduate degree","Rap/Hip hop",Fly,Healthy,Other,Religious
2012,y2012,12,G12,CA,Female,16,[16],Left-Handed,,22,,1,Car,15,0,46,Other,800,800,500,700,200,300,,,,,"Ring finger",12.Dec,3.Summer,Yes,No,Pizza/Pasta,Water,Science,8,10,4,"Yes - broadband connection","In person",29,36,30,3,7,20,5,0,5,3,5,10,0,5,3.Some,"5.Graduate degree","Rock and roll","Freeze time",Happy,Relative,Health
2018,y2018,7,G07,CA,Female,11,[11],Right-Handed,146.3,22,140,2,Car,10,1,47,Swimming,567,930,1000,1000,102,102,22,"Same length",70,60,"Index finger",08.Aug,1.Winter,No,Yes,Vegetables,Water,Science,10,9,4,"Yes - other","Text messaging",1,2,0,2,1,5,1,0,0,1,0,0,0,0,3.Some,"3.Some college","Rhythm and blues (R&B)","Freeze time",Healthy,Actor,Environment
2020,y2020,12,G12,CA,Female,17,[17],Right-Handed,162.5,25.15,154.9,2,Car,10,0,44,Running/Jogging,800,700,900,900,700,800,24.64,"Right foot",76.2,83.8,"Ring finger",05.May,3.Summer,No,Yes,Fruit,Water,Science,8,9,4,"Yes - broadband connection","Internet chat or instant messaging",30,45,11,1.5,4.5,6,5,0,45,3.5,,6,0,5,3.Some,"4.Undergraduate degree","Rap/Hip hop",Fly,Happy,Other,"International aid"
2016,y2016,11,G11,CA,Female,16,[16],Right-Handed,157,,132.08,1,Car,15,,,Other,90,80,90,90,100,100,,"Left foot",,,"Index finger",06.Jun,4.Fall,Yes,No,"Rice/Noodle dishes",Water,History,4,10,7,"Yes - broadband connection","Text messaging",100,100,20,5,32,16,7,0,,,,15,0,15,"4.A lot","5.Graduate degree",Pop,Telepathy,Happy,"Doctor or nurse",Health
2021,y2021,12,G12,CA,Male,17,[17],Right-Handed,180,28,180,1,Walk,10,0,41,"Table Tennis",1000,1000,1000,1000,900,900,28,"Same length",78,80,"Ring finger",08.Aug,3.Summer,Yes,No,Desserts,Water,"Mathematics and statistics",7,9,4,"Yes - other","Internet chat or instant messaging",5,10,5,0,35,5,1,0,3,3,45,0,0,1,3.Some,"5.Graduate degree",Classical,"Super strength",Happy,"Religious figure",Health
2016,y2016,12,G12,CA,Male,15,[15],Right-Handed,178,31,163,1,Car,25,0,42,Other,900,900,900,900,1000,1000,30,"Right foot",120,121,"Index finger",09.Sep,3.Summer,No,No,"No favorite",Water,"Mathematics and statistics",8,10,3,"Yes - broadband connection","Internet chat or instant messaging",50,76,10,1,17,2,7,25,3,5,10,1,0,2,"4.A lot","5.Graduate degree","Rock and roll","Freeze time",Rich,Other,Other
2019,y2019,11,G11,CA,Male,16,[16],Left-Handed,,12,,2,Walk,10,,,,,,,,,,12,"Left foot",,,,06.Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,y2016,4,G04,CA,Male,17,[17],Right-Handed,170,25,168,1,Walk,15,0,33,Baseball/Softball,500,500,500,500,1000,1000,26,"Left foot",80,80,"Same length",03.Mar,3.Summer,No,No,Seafood,Water,Science,5,8,4,"Yes - broadband connection","Text messaging",0,0,0,0,30,2,12,10,0,1,25,0,0,2,"4.A lot",6.Other,Pop,"Freeze time",Happy,"Religious figure","Wildlife, animals"
2015,y2015,6,G06,CA,Male,10,[10],Right-Handed,152.4,,150,2,Car,3,,,Swimming,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,y2016,12,G12,CA,Female,18,[18],Right-Handed,162.5,21,162,3,Walk,15,0,53,Soccer,856,406,1000,193,118,925,21,"Left foot",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,y2021,12,G12,CA,Male,16,[16],Right-Handed,167,22,160,1,Car,10,2,50,Dancing,1000,797,850,850,701,952,22,"Same length",70,70,"Same length",10.Oct,2.Spring,Yes,No,Meat,Water,"Mathematics and statistics",6,7,6,"Yes - broadband connection","Text messaging",70,65,20,1,7,,2,4,15,20,,15,12,,3.Some,"5.Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Relative,"International aid"
2015,y2015,12,G12,CA,Female,17,[17],Right-Handed,167.5,23.5,164,3,Car,5,0,44,Basketball,1000,1000,1000,1000,800,800,23.5,"Same length",,,"Same length",05.May,3.Summer,No,No,Pizza/Pasta,Water,Other,6,8,5,"Yes - broadband connection","In person",25,40,20,3,21,18,15,2,20,20,20,2,0,2,"4.A lot","3.Some college","Rhythm and blues (R&B)",Fly,Happy,Relative,"International aid"
2016,y2016,11,G11,CA,Male,17,[17],Right-Handed,177,24.4,177,2,Bus,20,,,Soccer,800,700,800,1000,200,200,24,"Right foot",73,80,"Ring finger",04.Apr,2.Spring,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,7,5,"Yes - broadband connection","Text messaging",0,1,25,0.5,10,1,7,29,2,1,14,0,16,2,"2.Very little","5.Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer",Environment
2016,y2016,12,G12,CA,Female,17,[17],Right-Handed,149,21,150,2,Walk,20,,,Soccer,,,,,,,21,"Same length",65,70,"Ring finger",03.Mar,1.Winter,No,No,Fruit,Water,"Physical education",8,10,7,"Yes - other","Text messaging",100,100,10,5,20,10,2,0,6,25,4,8,0,5,"4.A lot","5.Graduate degree",Other,Telepathy,Happy,Relative,"Wildlife, animals"
2018,y2018,12,G12,CA,Female,16,[16],Right-Handed,151,22,147,1,Car,10,0,32,Dancing,930,930,920,904,310,460,22,"Same length",78,66,"Index finger",10.Oct,1.Winter,No,No,Fruit,Water,Other,4,9,5,"Yes - broadband connection","In person",8,30,5,2,30,20,14,0,2,2,5,7,0,1,"4.A lot",6.Other,Pop,Fly,Happy,Relative,"Education/Youth development"
2014,y2014,12,G12,CA,Female,17,[17],Right-Handed,170,,,2,Walk,5,1,56,Rowing,,,,,,,,"Same length",,,"Index finger",11.Nov,3.Summer,Yes,No,"No favorite",Water,"Mathematics and statistics",8,10,5,"Yes - broadband connection","Text messaging",150,150,,,,,,,,,,,,,3.Some,"5.Graduate degree",Other,"Freeze time",Happy,Friend,"International aid"
2017,y2017,12,G12,CA,Male,17,[17],Right-Handed,178,25,174,1,Car,23,0,46,Walking/Hiking,856,684,610,968,652,695,28,"Left foot",90,85,"Index finger",06.Jun,1.Winter,No,No,Meat,Water,Art,7,8,3,"Yes - broadband connection","Text messaging",20,33,6,4,14,3,6,1,12,7,30,3,2,2,"4.A lot","4.Undergraduate degree",Jazz,"Freeze time",Happy,Other,"Arts, culture, sports"
2014,y2014,6,G06,CA,Male,11,[11],Left-Handed,152,24,148,1,Car,5,0,23,"Football (American)",500,500,500,1000,1000,1000,24,"Same length",60,60,"Ring finger",06.Jun,3.Summer,No,No,Other,Water,"Computers and technology",10,11,4,"Yes - broadband connection","Text messaging",3,3,30,1,5,10,12,6,3,2,5,10,0,5,"4.A lot","5.Graduate degree",Techno/Electronic,Fly,Happy,Relative,"Education/Youth development"
2016,y2016,12,G12,CA,Female,17,[17],Right-Handed,162.5,20.32,162.5,2,Car,13,1,40,Running/Jogging,791,620,936,102,1000,1000,20.32,"Same length",76.2,85.8,"Ring finger",08.Aug,4.Fall,No,No,Breads/Sandwiches,Water,English,5,10,4,"Yes - broadband connection","Text messaging",60,50,10,3,25,0,0,0,15,15,25,0,0,3,"4.A lot","5.Graduate degree","Rock and roll","Freeze time",Healthy,Relative,Health
2017,y2017,12,G12,CA,Male,17,[17],Right-Handed,183,28,185,1,Other,8,0,49,"Football (American)",850,850,850,850,500,500,28,"Same length",116,127,"Ring finger",04.Apr,3.Summer,No,No,"No favorite",Water,Other,7,10,3,"Yes - broadband connection","Text messaging",10,15,6,1,15,12,24,0,3,3,3,0,1,3,3.Some,"5.Graduate degree",Country,"Freeze time",Happy,Relative,Environment
2017,y2017,12,G12,CA,Male,14,[14],Right-Handed,177,28,181,1,Walk,20,0,69,"Football (American)",250,250,500,100,10,750,28,"Same length",83,84,"Ring finger",08.Aug,1.Winter,No,No,Pizza/Pasta,Water,"Physical education",7,6,3,"Yes - dial-up connection","Cell phone",5,6,4,2,3,3,15,12,10,4,1,0,0,1,"4.A lot","3.Some college","Rap/Hip hop","Freeze time",Happy,"Sports person","International aid"
2022,y2022,12,G12,CA,Female,17,[17],Right-Handed,178,25,173,1,Walk,5,0,47,Other,980,950,970,970,900,900,25,"Same length",80,75,"Index finger",07.Jul,3.Summer,Yes,No,Seafood,Water,Science,6,9,4,"Yes - other","Text messaging",95,100,14,2,17,0,16,0,10,1,3,2,0,4,"4.A lot","5.Graduate degree",Reggae,Telepathy,Happy,Relative,Health
2016,y2016,12,G12,CA,Female,16,[16],Ambidextrous,155,22,159,2,Car,10,0,34,Dancing,1000,640,900,700,1000,1000,22,"Same length",70,70,"Same length",09.Sep,1.Winter,No,No,"Rice/Noodle dishes",Water,Science,5,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,3,5,1,50,2,5,0,,,,0,0,0,"4.A lot","5.Graduate degree","Punk rock","Freeze time",Happy,Relative,Health
2020,y2020,12,G12,CA,Male,17,[17],Right-Handed,177,,175,2,Car,,3,3,Walking/Hiking,1000,1000,1000,1000,1000,1000,,"Right foot",91,85,"Index finger",10.Oct,3.Summer,Yes,No,Meat,Milk,Other,,,4,"Yes - other","Cell phone",,,5,2,,0.0333333333333333,,2,5,,,10,,2,"4.A lot","2.High school",Other,Telepathy,Rich,"Musician or singer","Education/Youth development"
2017,y2017,12,G12,CA,Female,18,[18],Right-Handed,154,21,150,2,Car,15,1,66,None,1000,1000,1000,1000,1000,1000,21,"Same length",70,70,"Same length",03.Mar,4.Fall,No,No,Pizza/Pasta,Water,Other,7,8.5,8,"Yes - broadband connection","Text messaging",50,50,7,0,1,7,0,0,3,5,3,0,0,,3.Some,6.Other,Pop,"Freeze time",Happy,"Musician or singer",Health
2015,y2015,6,G06,CA,Female,11,[11],Right-Handed,157,,156,3,Walk,5,1,42,Swimming,0,500,900,50,1000,1000,23,"Same length",60,70,"Ring finger",12.Dec,1.Winter,No,No,Pizza/Pasta,Water,Art,9,11,3,"Yes - other","Text messaging",100,50,8,2,3,10,2,4,5,1,1,1,0,0,3.Some,"5.Graduate degree",Pop,"Freeze time",Famous,"Musician or singer","International aid"
2020,y2020,7,G07,CA,Male,14,[14],Right-Handed,,,,5,Other,30,,10,Baseball/Softball,5,5,8,9,10,15,15,"Left foot",,120,"Ring finger",12.Dec,,,,,,English,12,12,,"No internet connection","Text messaging",3,,7,9,0,7,,1,,,,,,,,,,,,,
2011,y2011,12,G12,CA,Female,16,[16],Right-Handed,165,25,,1,Car,10,0,44,Walking/Hiking,1000,400,200,,0,600,25,"Same length",100,75,"Ring finger",10.Oct,1.Winter,Yes,No,Pizza/Pasta,Water,Art,7,9,5,"Yes - other","Text messaging",50,55,8,1,3,5,2,0,1,3,2,4,0,1,3.Some,"5.Graduate degree",Classical,Invisibility,Happy,Relative,Environment
2017,y2017,12,G12,CA,Male,18,[18],Right-Handed,168,25,160,3,"Rail (Train/Tram/Subway)",90,1,68,"Martial Arts",,,1000,1000,1000,1000,25,"Same length",100,90,"Index finger",09.Sep,1.Winter,No,No,Pizza/Pasta,"Soft drink (non-caffeinated)",Science,5,9,5,"No internet connection","Internet chat or instant messaging",10,20,0,3,2,1,0,0,2,1,2,0,40,5,"4.A lot",6.Other,Jazz,Fly,Happy,Actor,Environment
2018,y2018,12,G12,CA,Female,18,[18],Left-Handed,154,21,144,1,Car,5,0,45,None,1000,1000,1000,1000,513,544,20.5,"Right foot",65,62,"Index finger",03.Mar,1.Winter,Yes,Yes,Pizza/Pasta,Juice,History,7,9,6,"Yes - broadband connection","Text messaging",50,50,5,0,10,15,0,0,5,2,2,0,0,3,"4.A lot","2.High school","Punk rock",Invisibility,Happy,Actor,"Wildlife, animals"
2020,y2020,12,G12,CA,Female,17,[17],Right-Handed,154.9,20.4,152,1,Car,8,1,37,Dancing,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,y2014,12,G12,CA,Male,17,[17],Right-Handed,164,25,169,2,Walk,20,1,64,Swimming,800,700,500,600,500,400,25,"Same length",80,90,"Ring finger",09.Sep,3.Summer,No,No,"No favorite",Milk,"Physical education",10,7,4,"Yes - broadband connection","In person",0,0,2,1,6,14,5,20,0,1,17,7,9,3,,"5.Graduate degree","Rap/Hip hop",Fly,Happy,Actor,Environment
2020,y2020,7,G07,CA,Male,13,[13],Right-Handed,,40,101.6,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,y2019,12,G12,CA,Male,17,[17],Right-Handed,184,26,180,1,Car,15,0,45,Skateboarding/Rollerblading,1000,500,700,700,10,100,27,"Left foot",90,80,"Index finger",03.Mar,1.Winter,No,No,Meat,Water,"Computers and technology",8,6,3,"Yes - broadband connection","Text messaging",,,10,1,8,2,3,8,6,5,1,2,10,3,"4.A lot","5.Graduate degree",Jazz,"Freeze time",Happy,Relative,Environment
2022,y2022,12,G12,CA,Female,18,[18],Right-Handed,172,24,170,3,Walk,5,0,36,Tennis,1000,950,995,995,1000,900,24,"Same length",72.5,77.5,"Ring finger",07.Jul,4.Fall,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",6.5,8,,"Yes - broadband connection","In person",58,52,26,2,18,0,12,11,6,2,5,3,0,1,"4.A lot","5.Graduate degree",Pop,Fly,Happy,Teacher,Environment
